team_name,games_played,wins,losses,win_pct,points,goals_for,goals_against,home_wins,home_losses,home_win_pct,home_points,home_goals_for,home_goals_against,road_wins,road_losses,road_win_pct,road_points,road_goals_for,road_goals_against,division_rank,conference_rank
Golden Knights,8,6,2,0.75,12,26,16,3,1,0.75,6,11,6,3,1,0.75,6,15,10,1,1
Flames,6,5,1,0.833,10,22,17,4,1,0.8,8,18,14,1,0,1.0,2,4,3,2,2
Oilers,7,4,3,0.571,8,25,21,3,3,0.5,6,22,20,1,0,1.0,2,3,1,3,6
Kraken,8,3,3,0.375,8,26,28,1,2,0.25,3,11,15,2,1,0.5,5,15,13,4,7
Kings,8,4,4,0.5,8,28,33,1,2,0.333,2,8,10,3,2,0.6,6,20,23,5,8
Sharks,9,2,7,0.222,4,17,27,0,4,0.0,0,7,14,2,3,0.4,4,10,13,6,14
Ducks,7,1,5,0.143,3,16,32,1,1,0.5,2,7,8,0,4,0.0,1,9,24,7,15
Canucks,7,0,5,0.0,2,18,30,0,2,0.0,0,3,8,0,3,0.0,2,15,22,8,16
Stars,7,4,2,0.571,9,23,15,2,0,1.0,4,9,2,2,2,0.4,5,14,13,1,3
Avalanche,7,4,2,0.571,9,25,21,1,1,0.333,3,10,9,3,1,0.75,6,15,12,2,4
Blackhawks,6,4,2,0.667,8,20,17,3,0,1.0,6,13,9,1,2,0.333,2,7,8,3,5
Blues,5,3,2,0.6,6,12,12,1,1,0.5,2,6,5,2,1,0.667,4,6,7,4,9
Jets,6,3,3,0.5,6,16,17,2,1,0.667,4,9,5,1,2,0.333,2,7,12,5,10
Wild,6,2,3,0.333,5,22,28,1,3,0.25,2,16,23,1,0,0.5,3,6,5,6,11
Predators,7,2,4,0.286,5,16,24,1,2,0.25,3,9,12,1,2,0.333,2,7,12,7,12
Coyotes,6,2,4,0.333,4,19,29,0,0,0.0,0,0,0,2,4,0.333,4,19,29,8,13
Hurricanes,6,4,1,0.667,9,20,14,1,0,1.0,2,4,1,3,1,0.6,7,16,13,1,2
Penguins,7,4,2,0.571,9,30,21,3,0,1.0,6,18,5,1,2,0.25,3,12,16,2,3
Flyers,6,4,2,0.667,8,17,14,2,1,0.667,4,8,7,2,1,0.667,4,9,7,3,7
Capitals,7,4,3,0.571,8,25,24,3,1,0.75,6,15,13,1,2,0.333,2,10,11,4,9
Devils,7,4,3,0.571,8,23,22,2,2,0.5,4,11,14,2,1,0.667,4,12,8,5,10
Rangers,8,3,3,0.375,8,22,26,2,1,0.4,6,14,16,1,2,0.333,2,8,10,6,13
Islanders,7,3,4,0.429,6,22,18,3,2,0.6,6,17,10,0,2,0.0,0,5,8,7,14
Blue Jackets,8,3,5,0.375,6,25,33,2,3,0.4,4,17,23,1,2,0.333,2,8,10,8,16
Bruins,7,6,1,0.857,12,30,20,5,0,1.0,10,20,11,1,1,0.5,2,10,9,1,1
Panthers,7,4,2,0.571,9,21,21,2,0,0.667,5,9,8,2,2,0.5,4,12,13,2,4
Senators,6,4,2,0.667,8,25,18,4,0,1.0,8,22,11,0,2,0.0,0,3,7,3,5
Sabres,6,4,2,0.667,8,23,16,1,1,0.5,2,7,5,3,1,0.75,6,16,11,4,6
Red Wings,6,3,1,0.5,8,22,18,2,1,0.5,5,14,12,1,0,0.5,3,8,6,5,8
Maple Leafs,7,4,3,0.571,8,19,18,3,1,0.75,6,11,10,1,2,0.333,2,8,8,6,11
Lightning,8,4,4,0.5,8,24,25,1,1,0.5,2,7,6,3,3,0.5,6,17,19,7,12
Canadiens,7,3,4,0.429,6,17,21,3,2,0.6,6,16,15,0,2,0.0,0,1,6,8,15
