game_id,home_team_alias,home_team,away_team_alias,away_team,date,time_zone
7a3ddea5-6cb4-43ee-bd78-a3e5799d2021,NSH,Nashville Predators,SJ,San Jose Sharks,2022-10-07T18:00:00Z,Europe/Vienna
952920a3-9cd4-4ca9-a839-29b8700805c7,SJ,San Jose Sharks,NSH,Nashville Predators,2022-10-08T18:00:00Z,Europe/Vienna
d4e6e4d6-4f54-417a-aad0-d31ef1f8e59a,NYR,New York Rangers,TB,Tampa Bay Lightning,2022-10-11T23:30:00Z,US/Eastern
74862d16-c58e-48cd-9ac9-8bba7c38e5ce,LA,Los Angeles Kings,VGK,Vegas Golden Knights,2022-10-12T02:00:00Z,US/Pacific
0e98c1ac-2b1b-4ed1-ab70-62c5c8cdee59,CAR,Carolina Hurricanes,CBJ,Columbus Blue Jackets,2022-10-12T23:00:00Z,US/Eastern
5fdf470b-8cb9-4748-bae5-60fcd29de3b4,MTL,Montreal Canadiens,TOR,Toronto Maple Leafs,2022-10-12T23:00:00Z,US/Eastern
c0a72838-2d41-4bd3-81cf-034a6a6fdafd,WSH,Washington Capitals,BOS,Boston Bruins,2022-10-12T23:00:00Z,US/Eastern
55d3e1ad-649c-47dd-acbf-0e62fab5168e,COL,Colorado Avalanche,CHI,Chicago Blackhawks,2022-10-13T01:30:00Z,US/Mountain
a2fb9757-da5a-4d9b-856b-2523a8396755,EDM,Edmonton Oilers,VAN,Vancouver Canucks,2022-10-13T02:00:00Z,US/Mountain
f2c5a482-0b61-4a83-b43a-3eaed4e12fc2,ANA,Anaheim Ducks,SEA,Seattle Kraken,2022-10-13T02:00:00Z,US/Pacific
10ceff40-6507-404b-b0f1-a5f8abfba753,PIT,Pittsburgh Penguins,ARI,Arizona Coyotes,2022-10-13T23:00:00Z,US/Eastern
a0d69bc8-a02b-45f2-a3c1-1a3c7d7c08f5,PHI,Philadelphia Flyers,NJ,New Jersey Devils,2022-10-13T23:00:00Z,US/Eastern
f0211208-c817-4a22-94ea-a17d30f3b328,BUF,Buffalo Sabres,OTT,Ottawa Senators,2022-10-13T23:00:00Z,US/Eastern
61c57231-ea2f-46a0-be17-a335f3aba7e4,TOR,Toronto Maple Leafs,WSH,Washington Capitals,2022-10-13T23:30:00Z,US/Eastern
7808426d-fca4-4be0-82ff-2079db73ca87,NYI,New York Islanders,FLA,Florida Panthers,2022-10-13T23:30:00Z,US/Eastern
ca0128f4-ead0-4947-8346-024ce4838c28,MIN,Minnesota Wild,NYR,New York Rangers,2022-10-14T00:00:00Z,US/Central
f6a6434c-1460-4187-81c2-39b73b12a6cb,NSH,Nashville Predators,DAL,Dallas Stars,2022-10-14T00:30:00Z,US/Central
b273d3f6-3c2a-47d1-8fde-9455fc952404,CGY,Calgary Flames,COL,Colorado Avalanche,2022-10-14T01:30:00Z,US/Mountain
5b75c8a2-d2d3-4444-91ad-46f164ca92a2,VGK,Vegas Golden Knights,CHI,Chicago Blackhawks,2022-10-14T02:00:00Z,US/Pacific
c9af2bad-40d7-4d2c-a39a-5ba41d930be1,LA,Los Angeles Kings,SEA,Seattle Kraken,2022-10-14T02:30:00Z,US/Pacific
a07f02df-30dd-4c83-b550-55946fd87876,CBJ,Columbus Blue Jackets,TB,Tampa Bay Lightning,2022-10-14T23:00:00Z,US/Eastern
ac9b1271-3848-46eb-8e04-576167f632f2,DET,Detroit Red Wings,MTL,Montreal Canadiens,2022-10-14T23:00:00Z,US/Eastern
1c9575ce-499a-4802-a1f7-632067fc9f4f,WPG,Winnipeg Jets,NYR,New York Rangers,2022-10-15T00:00:00Z,US/Central
284af95a-4fb6-4790-b26b-6deccb26ee89,SJ,San Jose Sharks,CAR,Carolina Hurricanes,2022-10-15T02:30:00Z,US/Pacific
acab8a09-d0ac-4020-9edd-02c6bc416425,BUF,Buffalo Sabres,FLA,Florida Panthers,2022-10-15T17:00:00Z,US/Eastern
e4991af0-006e-43dc-b3a5-a457d58ae6c1,PHI,Philadelphia Flyers,VAN,Vancouver Canucks,2022-10-15T20:00:00Z,US/Eastern
15bf2a2d-98e2-4f4a-8be7-e8c43944a9d5,PIT,Pittsburgh Penguins,TB,Tampa Bay Lightning,2022-10-15T23:00:00Z,US/Eastern
5ec49616-62bf-4e22-b437-54021dde6515,NJ,New Jersey Devils,DET,Detroit Red Wings,2022-10-15T23:00:00Z,US/Eastern
b2d588bd-7419-4940-aab8-6fb7c7ac7311,WSH,Washington Capitals,MTL,Montreal Canadiens,2022-10-15T23:00:00Z,US/Eastern
c6046c55-1f9b-43bc-a0f9-d507c7245e00,BOS,Boston Bruins,ARI,Arizona Coyotes,2022-10-15T23:00:00Z,US/Eastern
ff01f668-74c1-4f00-9c6c-ac567228a0fb,TOR,Toronto Maple Leafs,OTT,Ottawa Senators,2022-10-15T23:00:00Z,US/Eastern
52d71f08-a54d-40bd-8234-960c58253f9a,NYI,New York Islanders,ANA,Anaheim Ducks,2022-10-15T23:30:00Z,US/Eastern
0d2a7780-d067-41e1-92d8-d55a6f2e9f8b,STL,St. Louis Blues,CBJ,Columbus Blue Jackets,2022-10-16T00:00:00Z,US/Central
4de2f525-ac3b-40be-a4c7-a3d7e6b5cc53,MIN,Minnesota Wild,LA,Los Angeles Kings,2022-10-16T00:00:00Z,US/Central
c7525093-c974-41e8-960d-1119d055c81b,DAL,Dallas Stars,NSH,Nashville Predators,2022-10-16T00:00:00Z,US/Central
c02e62c3-65e7-403b-8264-2c6a4f3bbb4c,SEA,Seattle Kraken,VGK,Vegas Golden Knights,2022-10-16T02:00:00Z,US/Pacific
c2265766-3c9b-494c-87f3-bd8a240caebb,SJ,San Jose Sharks,CHI,Chicago Blackhawks,2022-10-16T02:00:00Z,US/Pacific
fe8a3ea9-5152-4d1f-b976-76f0cef263ba,EDM,Edmonton Oilers,CGY,Calgary Flames,2022-10-16T02:00:00Z,US/Mountain
2fe94836-6903-4f39-b818-54068e718e17,WSH,Washington Capitals,VAN,Vancouver Canucks,2022-10-17T23:00:00Z,US/Eastern
6640e2b1-58e8-415a-8f01-fa1e5835f551,BOS,Boston Bruins,FLA,Florida Panthers,2022-10-17T23:00:00Z,US/Eastern
8091a806-60a4-456a-8d68-2045006618c4,NYR,New York Rangers,ANA,Anaheim Ducks,2022-10-17T23:00:00Z,US/Eastern
b883060f-3260-4f23-9315-b0c50421a168,MTL,Montreal Canadiens,PIT,Pittsburgh Penguins,2022-10-17T23:00:00Z,US/Eastern
d81c6c30-acfd-408f-8f9b-fae168dff41d,TOR,Toronto Maple Leafs,ARI,Arizona Coyotes,2022-10-17T23:00:00Z,US/Eastern
fe4ff4e5-34f2-4ac7-90d3-10c3acf550d8,DET,Detroit Red Wings,LA,Los Angeles Kings,2022-10-17T23:00:00Z,US/Eastern
a1898d87-f12a-4f3c-9a0c-d2ceccc9d4a5,MIN,Minnesota Wild,COL,Colorado Avalanche,2022-10-18T00:00:00Z,US/Central
f1d2f493-f89d-458d-b17c-c1640c68dd96,DAL,Dallas Stars,WPG,Winnipeg Jets,2022-10-18T00:30:00Z,US/Central
b8ef969a-2731-49ce-b7bb-4e436e524555,SEA,Seattle Kraken,CAR,Carolina Hurricanes,2022-10-18T02:00:00Z,US/Pacific
166f93aa-1d7c-45af-a196-650548e5c053,NJ,New Jersey Devils,ANA,Anaheim Ducks,2022-10-18T23:00:00Z,US/Eastern
7b9ebe4d-45d0-4d22-9f8c-ce9ce5c58340,CBJ,Columbus Blue Jackets,VAN,Vancouver Canucks,2022-10-18T23:00:00Z,US/Eastern
b4af4250-3a64-443e-bc37-e6e40d266ea1,OTT,Ottawa Senators,BOS,Boston Bruins,2022-10-18T23:00:00Z,US/Eastern
e91e62cc-508a-4e17-8dfc-bb95901a89a8,TB,Tampa Bay Lightning,PHI,Philadelphia Flyers,2022-10-18T23:00:00Z,US/Eastern
