id,name,alias,conference,conference_alias,division,division_alias,player_id_list
42376e1c-6da8-461e-9443-cfcf0a9fcc4d,Golden Knights,VGK,WESTERN CONFERENCE,WESTERN,Pacific,PACIFIC,"['13a6977a-fc7e-4a08-8ef4-61907f0006b5', '23e3f15b-493a-4669-819b-cc07d5d16bda', '32a43ff1-60d9-40dd-a4d3-810d9bf555a6', '35782f83-5d7b-4bf5-a50a-f6c2f74be278', '374cd339-bfdd-4b15-b4cb-65bc5ab391bc', '39865351-af7a-419c-8db6-5b270c2dd3ec', '4282db94-0f24-11e2-8525-18a905767e44', '42ce2a31-0f24-11e2-8525-18a905767e44', '42d52288-0f24-11e2-8525-18a905767e44', '42fb8fb0-0f24-11e2-8525-18a905767e44', '4316dfdf-0f24-11e2-8525-18a905767e44', '436ece1c-0f24-11e2-8525-18a905767e44', '4d9cee32-afea-40f0-9242-d97acf640e75', '5bf557c9-0bb7-400a-be80-b0214e30c1c1', '5cb512ae-8207-4a2f-9209-614c4cdb6344', '62d72735-9fcf-434a-bb18-a9ffab615890', '6bf3389e-271f-4aa2-a378-f70674ac7702', '90742eb3-6cba-4ca3-9368-7dc1861e1992', '90dea399-c04f-488a-a3b9-1fb82134120e', 'a9184145-73f9-47f3-a9b9-8c915c5f1377', 'aa0ef29e-9f7a-4331-81c4-67e0e3d480fa', 'b424c4e8-31d3-4155-b6af-319000735e1b', 'ca9999bb-88c8-400b-9e36-9b6ee8a81888', 'ccba87dc-0f34-4203-8f8f-00b9b6b827ba', 'e0a887f9-2295-4692-b49d-9ae4104f092e', 'edc50f76-409d-470a-9f6c-02b7b817a4dd', 'fead4e41-77bb-472f-abb2-4de9147a26db']"
44159241-0f24-11e2-8525-18a905767e44,Flames,CGY,WESTERN CONFERENCE,WESTERN,Pacific,PACIFIC,"['034bac71-8296-4b27-9ab8-00fd0e24d67f', '19ba927d-c4fe-4501-8c74-9a0e07c521de', '1d91bbc3-0e36-4c84-a0e8-638bfdb24e0e', '2335b900-9e3c-4870-855b-af83c9256ad9', '3b537427-8d00-4539-8bac-52dece8487ad', '427d4479-0f24-11e2-8525-18a905767e44', '427e5dad-0f24-11e2-8525-18a905767e44', '428b99ed-0f24-11e2-8525-18a905767e44', '429a2e26-0f24-11e2-8525-18a905767e44', '42eb57bd-0f24-11e2-8525-18a905767e44', '4313ca5c-0f24-11e2-8525-18a905767e44', '43626027-0f24-11e2-8525-18a905767e44', '43690e31-0f24-11e2-8525-18a905767e44', '436c9312-0f24-11e2-8525-18a905767e44', '56dc27ea-409b-4d77-ae58-13fa644a2aa0', '62207370-ad28-485d-856d-ddf7d4806b7b', '6508aeb6-a04d-4023-9be5-e7d357ce6bbe', '79bd3d77-ee47-47c0-91c4-e91ce674170c', 'a3c2916b-f92a-11e2-a133-f4ce4684ea4c', 'a814615d-f96b-45b7-a7ee-86d79d887dfe', 'a8a1c52d-7f83-4bf4-8d4f-67f4760943d5', 'bbea6f9a-bd8e-4c26-a77b-8f87d60777a4', 'd6bead91-24b6-4217-ad02-5a428a402b32']"
4415ea6c-0f24-11e2-8525-18a905767e44,Oilers,EDM,WESTERN CONFERENCE,WESTERN,Pacific,PACIFIC,"['0a52fe4d-eefb-42aa-9fb7-37d0d52dc557', '0ea70f8c-c22b-4a70-87ea-c8951454c875', '196205aa-53ea-46b0-be10-c2177ffe6312', '19e4d0a8-e585-4f7d-89fe-7dee9dc44396', '2181dd90-bf3f-4dd3-90e1-f6d4c05e081a', '31c54b40-8be3-495a-bb97-53101c30e29f', '3fadb175-8ff0-46c5-b1b2-3f2320f3c447', '428cb412-0f24-11e2-8525-18a905767e44', '42aa3865-0f24-11e2-8525-18a905767e44', '42af4f63-0f24-11e2-8525-18a905767e44', '4354082b-0f24-11e2-8525-18a905767e44', '4b3d22af-85b6-439e-8323-6d9b79a61f6a', '54e13854-ae0e-41d4-86fa-6b5be9f03630', '79d7fe88-e818-42c8-bf14-52f4c00c0f4b', '8949dceb-26ac-4cb1-b08d-2d5903d75611', '8b968705-833a-4251-92d7-eef4c0721953', '8c6b552e-28f4-47c1-8595-ff2b00e9cba7', '971ba282-9576-47aa-b6fb-b963403fea6e', 'a053e5a5-8614-45fa-8783-ca14e23bb6ee', 'b1f5de13-6631-4f24-beec-c7a7bbd1aea7', 'c4437c0c-b8bd-4574-82d4-7cfd78e13aaa', 'd70b3f19-9e98-4cd8-bcb2-94534899a951', 'df68fd1a-d52d-4a74-b762-0aafada4a622', 'dff929bc-f5a1-11e2-a133-f4ce4684ea4c', 'ec3843fd-5164-47ef-aa4c-c607b3f05e32', 'f4274fb8-bc80-47ba-bbfe-abec5d565b09', 'f7bb7a51-75d3-4f16-8491-a762acfb874a']"
1fb48e65-9688-4084-8868-02173525c3e1,Kraken,SEA,WESTERN CONFERENCE,WESTERN,Pacific,PACIFIC,"['159ed409-9c55-471b-a2d4-ca82e0485675', '22620d9f-c834-41d2-8898-6c62a6c868fb', '404beff3-3b28-4a47-b60e-89349c572eff', '42845d16-0f24-11e2-8525-18a905767e44', '42ae2bc3-0f24-11e2-8525-18a905767e44', '43217d79-0f24-11e2-8525-18a905767e44', '436dfe41-0f24-11e2-8525-18a905767e44', '5826c1cb-f2cf-4eb6-b516-84685164cc60', '69b35311-8876-4c70-9873-c4ad0abb4401', '79aedf72-1b71-488d-90af-48c0736da847', '8a83c5bf-a5a0-4d7d-a5d8-7b140362e021', '9066a189-ea1c-45b0-880b-1e0e743cf0f5', '9373ac04-4a51-4c5a-8c7f-98415c665d0a', 'a84cbaed-fc8d-42a3-9f1b-b231d8dc426d', 'ac8a04f3-8753-4619-a188-f641398991ce', 'b8a3b1f8-8857-43d7-9f83-5ccbe9eac0eb', 'c005267e-7634-459c-b12c-bff9e2e7461a', 'cb2d1eb9-ed27-4fff-96ea-8e82d9dcff64', 'cd985f0a-3d12-45f9-9b97-cc448388e19e', 'd5b413c5-5f58-11e2-9e6b-f4ce4684ea4c', 'd6a16994-80fc-11e2-a3e0-f4ce4684ea4c', 'd90a6d20-b897-4881-860f-d48c8c5a5f1a', 'e198a0bf-fcb3-4638-8f7c-955a55532cbd', 'f305ce90-1b89-4498-bee0-0d5689c12a2a', 'f50b745b-1511-47a7-996b-5d8dd735c075', 'f7a71351-4b62-4046-a1fa-c73107eda8d3']"
44151f7a-0f24-11e2-8525-18a905767e44,Kings,LA,WESTERN CONFERENCE,WESTERN,Pacific,PACIFIC,"['070ff077-e59b-4135-b060-352ee716bc7e', '091b5891-b9bc-4a3a-a2b3-782dd6e94c8e', '0cc94754-1f54-4723-939f-8c14dd930759', '421f9f71-d1ee-4917-afc6-ca11f6b761b0', '427d1fda-0f24-11e2-8525-18a905767e44', '4281a6e1-0f24-11e2-8525-18a905767e44', '4284802d-0f24-11e2-8525-18a905767e44', '42a3f66b-0f24-11e2-8525-18a905767e44', '59a7f500-cc98-4dd4-bc25-5ad948f4577e', '5b0377bd-412a-44aa-8b8d-8e8eabeb290e', '62836e6f-93b9-4e3e-9c41-4868dba13d3e', '63525ddb-3d33-45a8-b044-12e0ea92121c', '638a55b3-4846-4909-a0d9-14eb38dc26c1', '6767e821-5a9c-4379-9bfa-9f19314cfc2f', '76967e78-08fa-4e9c-8ec5-b42ea00d0a37', '7f2c1e3b-ea4b-4319-8545-6cf5a0cc3c92', 'a0b91f2e-bb6d-409a-9e58-cc764edafe64', 'a6c0a0de-646d-42b6-8684-9ca21070476b', 'ac354a49-0807-4179-b0f3-e57bf2af1aa2', 'c86ff633-7f27-420c-84a7-be1e08ede9a6', 'cd3e3e6c-23c2-4a3e-af08-e498246c50ad', 'e8459271-b33b-4749-81b7-47478e1f2915', 'f0cdc175-e8c9-4dd9-877d-0f067d8c2e31']"
44155909-0f24-11e2-8525-18a905767e44,Sharks,SJ,WESTERN CONFERENCE,WESTERN,Pacific,PACIFIC,"['0b67650a-6cc4-4227-a6ec-ca4089f2ea99', '15c5c649-8ba7-4809-906d-1cc7e0879765', '29d2a01f-bd80-448f-ad95-362e7c7393fc', '3ff2b7e7-ab4d-4af8-94e0-b226ad56f8cb', '428cf927-0f24-11e2-8525-18a905767e44', '42919aaf-0f24-11e2-8525-18a905767e44', '42fa3dcd-0f24-11e2-8525-18a905767e44', '431addc5-0f24-11e2-8525-18a905767e44', '43697641-0f24-11e2-8525-18a905767e44', '4f6c1c49-e87b-465e-9808-4d4b355c7e31', '64669a46-a90a-4d58-a759-87e5d0591515', '66bc833a-4f4e-4344-b3c2-57f132896341', '6db9bd1d-a7ed-4ecb-b5ac-98d1b3cd285d', '7ca29739-3029-4ba5-b96b-8242ecee4fb8', '7eafbe7d-d746-45b6-b9f0-dcabe5763f69', 'b320ca08-ddaf-4463-bf45-9b8ea0ea08b4', 'b6abdbbb-8f00-4d55-ba03-f82b624c2ea8', 'ca346915-364d-4c60-abb0-70fd4b3e44e8', 'd0884357-4b75-46d8-9eea-170756f2bcd3', 'd85b6a42-b1d6-49e1-a53d-3e33dd19d2e1', 'dedda775-c1af-4db3-8db5-43df9b22bb63', 'e27ebc0b-215a-4aae-bf89-b7221aa85e00', 'eb8a89a2-540b-4f05-9691-c4daea3d5240', 'fd447240-b3f2-4679-b6c8-13abb3499120', 'fd6ce123-571d-47d8-85cf-3efca1594f80']"
4415b0a7-0f24-11e2-8525-18a905767e44,Canucks,VAN,WESTERN CONFERENCE,WESTERN,Pacific,PACIFIC,"['021f2df3-37fb-4847-aafc-7817185be215', '04396c28-a071-478a-b387-a456fac24415', '0992487d-52ee-4ec5-ac3a-9f4d583e60ac', '15153215-ecbe-4e02-a260-a759095b287e', '1bd8d308-d6a1-4370-b1c4-b9832fc3cbc0', '209f24ff-34f2-413e-bd93-6c85596362f2', '29212452-aad3-4af3-987b-4b7f4321f5a8', '3268b09c-d07e-494b-bcd7-035fc5982f4a', '3785ac3d-5771-4342-be09-f4fb22ed84b3', '3abc026d-b911-11e2-8051-f4ce4684ea4c', '4289ec26-0f24-11e2-8525-18a905767e44', '42e60501-43e1-40d3-9c70-c12781605d7e', '42f32a2b-0f24-11e2-8525-18a905767e44', '431a7335-0f24-11e2-8525-18a905767e44', '432cc764-0f24-11e2-8525-18a905767e44', '4b2e0ce3-a2fd-4a0a-8001-21f599d3d41c', '63494437-29cf-4f82-85ce-f839cde0e338', '766d00bb-2c64-4afd-90c7-b7c9731fe2aa', '792887a7-d021-4942-8189-69b5fc45b4a0', '863a9f1a-066d-4151-9d97-ff1626bedbee', 'adc2a2c9-a9d4-493d-a2ee-2a921809f255', 'b6450ec8-7510-4700-ad64-d122806383a9', 'b88fe22b-7cf5-4674-843d-66e9163409f8', 'bbc4fe2b-f685-47e8-ae58-8ca29ff706e6', 'be6546ef-c49b-4628-b73a-61c81f5a976f', 'c7011ea7-be7d-4d96-8a1e-b789263f4901', 'd70eca80-fe30-493a-be08-c8e242a9d87d', 'f00d31d0-a8bf-4d29-b5a3-b187ae52a6a3', 'f9e91cde-ad9f-4ffb-a51b-e61f8e5a5376']"
441862de-0f24-11e2-8525-18a905767e44,Ducks,ANA,WESTERN CONFERENCE,WESTERN,Pacific,PACIFIC,"['09318a2b-e0e8-47e8-94e6-5f69a794bb5d', '118cd4ec-2472-44ca-8d6b-4aeb3fd9793e', '20695dc0-765f-4208-b2c4-8bf1df4bf88a', '38efd5f2-2c11-4046-b0f7-0fb981a42db9', '4279f848-0f24-11e2-8525-18a905767e44', '42d58a20-0f24-11e2-8525-18a905767e44', '42dd6452-0f24-11e2-8525-18a905767e44', '430d41f7-0f24-11e2-8525-18a905767e44', '431bb448-0f24-11e2-8525-18a905767e44', '4325c36b-0f24-11e2-8525-18a905767e44', '4367afd9-0f24-11e2-8525-18a905767e44', '43703068-0f24-11e2-8525-18a905767e44', '468c9cd9-782e-40e1-a7da-9fe91acdafd9', '552c4e73-a73a-46b3-82c1-0d5c8928c977', '7c8b45f3-deaf-41c4-939f-2d6e86b22bd3', '813d6f7b-8ed4-456a-8ffe-295a858c6376', '87101f07-336e-4c22-aa1f-85d53d016736', '962d6858-7d55-42e4-9916-f4f598f7c110', '96bd64dd-792e-4290-b78b-c1e841944144', '990fadc1-50d2-4dda-bec7-345b69683ae7', 'a2efae93-5d91-4155-b866-f0860a10b0bf', 'baeee6b2-c75d-4f6d-b52b-8c977f173179', 'c0c57874-7af6-451f-9783-d4b16ff89a35', 'c7049cf3-86d8-4bd0-9323-1a5d027da2ab', 'da5988c5-434e-4e7e-b14f-bac942e88c15', 'e448f557-fb48-4816-ab7a-dd32b92f7d5c']"
44157522-0f24-11e2-8525-18a905767e44,Stars,DAL,WESTERN CONFERENCE,WESTERN,Central,CENTRAL,"['08bd8e94-313c-462b-bab2-806b56cd3c51', '1b1772ec-e2ad-4189-b223-4c87e5bb7188', '25bf3bd6-cbfc-4cdf-bf50-64c5ae021b7c', '2c5bb2ac-a85e-4fc6-8a44-d0a30fdfefc1', '2f613430-45b9-462c-bd6a-cded28a7f8af', '34e0d9ba-53a7-4e15-834b-1e6e9107d267', '428e37b4-0f24-11e2-8525-18a905767e44', '4294cb52-0f24-11e2-8525-18a905767e44', '42cde477-0f24-11e2-8525-18a905767e44', '42ea7555-0f24-11e2-8525-18a905767e44', '47f4508c-e59a-4846-8751-00c56610b45b', '4f1cdbd3-db77-43f7-8e1b-eb020b5973df', '55ab2861-3357-4e4f-9b29-59b62e039e5a', '837592f3-a555-478d-a4bd-0940c948a984', '981eb1ab-ac27-11e2-a01b-f4ce4684ea4c', '9f86cf0b-416d-4408-a080-9d638f52d006', 'a4906835-1774-49f9-afc1-5aebc23f72fc', 'ab1244c5-e16b-4253-8a21-b7a252361185', 'bf500871-e829-4662-a191-fae041f58da1', 'ce86a64b-bc95-4faa-9893-4bd8ddf6f71c', 'db029f9d-5dcc-4af6-9240-656bd1559e07', 'edc6f332-3569-4673-b590-53e8dd1671f2', 'f45dad30-08be-4aab-9db7-b2033609b5d6']"
4415ce44-0f24-11e2-8525-18a905767e44,Avalanche,COL,WESTERN CONFERENCE,WESTERN,Central,CENTRAL,"['052c69b3-91a2-4244-811c-cff9ef96a3ea', '1cb1b41a-02ec-47dc-9252-9e779c677390', '2b6963fd-3924-42c4-be6d-753087d2498f', '308d83f1-6166-407e-9959-8badc52be1ca', '42a88700-0f24-11e2-8525-18a905767e44', '42abd95c-0f24-11e2-8525-18a905767e44', '42e03feb-0f24-11e2-8525-18a905767e44', '43699c36-0f24-11e2-8525-18a905767e44', '588ccf22-c00e-4248-ac25-990991e08680', '733ba4ad-23b7-4910-a0c6-62b2a48d8b15', 'a5e54f64-6198-498f-b402-1c211f68caab', 'addcad23-412f-4be4-9e09-ef7c8b937424', 'c0d4498a-faa8-4c0e-8d6b-527b3502a909', 'd00af4ae-deb3-487c-a65e-33d62c9bc833', 'd4e95268-3f94-41e2-ba9d-f76fa232ac77', 'd8f8317e-d46a-46a8-949b-1d788d94ad48', 'e098ce44-9f44-4dea-8dce-697c1080eb11', 'e0e31a62-bf3a-11e2-8051-f4ce4684ea4c', 'e440e013-e817-11e2-a133-f4ce4684ea4c', 'ed614e03-667a-4910-b5be-77b94f2bb80c', 'f0dd1b3a-6b87-417d-9efa-ae53cb137a9a', 'f5a7d914-02d4-4821-9dfd-83160eb58003', 'f9b52899-9d41-4838-9a61-df6311c9cf91', 'fb94f306-b023-47a0-b198-ccba402f0b61']"
