id,full_name,status,height,weight,handedness,position,primary_position,jersey_number,year,alias,games_played,goals,assists,penalties,penalty_minutes,shots,blocked_att,missed_shots,hits,giveaways,takeaways,blocked_shots,faceoffs_won,faceoffs_lost,faceoff_win_pct
13a6977a-fc7e-4a08-8ef4-61907f0006b5,Ben Hutton,ACT,74,206,L,D,D,17,2015,VAN,75,1,24,7,14,104,89,43,42,53,30,102,0,0,0.0
13a6977a-fc7e-4a08-8ef4-61907f0006b5,Ben Hutton,ACT,74,206,L,D,D,17,2016,VAN,71,5,14,14,31,130,93,45,46,50,31,106,0,0,0.0
13a6977a-fc7e-4a08-8ef4-61907f0006b5,Ben Hutton,ACT,74,206,L,D,D,17,2017,VAN,61,0,6,10,23,103,65,36,40,43,26,68,0,1,0.0
13a6977a-fc7e-4a08-8ef4-61907f0006b5,Ben Hutton,ACT,74,206,L,D,D,17,2018,VAN,69,5,15,16,43,114,99,42,55,30,27,102,0,0,0.0
13a6977a-fc7e-4a08-8ef4-61907f0006b5,Ben Hutton,ACT,74,206,L,D,D,17,2019,LA,65,4,12,7,14,114,71,39,51,41,12,76,0,0,0.0
13a6977a-fc7e-4a08-8ef4-61907f0006b5,Ben Hutton,ACT,74,206,L,D,D,17,2020,TOR,4,0,0,0,0,3,6,1,7,3,2,3,0,0,0.0
13a6977a-fc7e-4a08-8ef4-61907f0006b5,Ben Hutton,ACT,74,206,L,D,D,17,2021,VGK,58,3,10,10,32,78,63,25,49,19,16,72,0,0,0.0
13a6977a-fc7e-4a08-8ef4-61907f0006b5,Ben Hutton,ACT,74,206,L,D,D,17,2022,VGK,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0
23e3f15b-493a-4669-819b-cc07d5d16bda,Chandler Stephenson,ACT,72,203,L,F,C,20,2014,WSH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
23e3f15b-493a-4669-819b-cc07d5d16bda,Chandler Stephenson,ACT,72,203,L,F,C,20,2015,WSH,9,0,0,1,2,2,1,1,5,1,3,4,30,25,54.5
23e3f15b-493a-4669-819b-cc07d5d16bda,Chandler Stephenson,ACT,72,203,L,F,C,20,2016,WSH,4,0,0,0,0,3,1,0,0,0,1,0,12,13,48.0
23e3f15b-493a-4669-819b-cc07d5d16bda,Chandler Stephenson,ACT,72,203,L,F,C,20,2017,WSH,67,6,12,4,8,36,8,16,26,16,24,33,40,33,54.8
23e3f15b-493a-4669-819b-cc07d5d16bda,Chandler Stephenson,ACT,72,203,L,F,C,20,2018,WSH,64,5,6,0,0,36,15,14,38,11,18,33,47,48,49.5
23e3f15b-493a-4669-819b-cc07d5d16bda,Chandler Stephenson,ACT,72,203,L,F,C,20,2019,WSH,24,3,1,2,6,18,4,10,20,5,13,12,78,77,50.3
23e3f15b-493a-4669-819b-cc07d5d16bda,Chandler Stephenson,ACT,72,203,L,F,C,20,2020,VGK,51,14,21,9,29,83,18,23,43,10,23,35,375,369,50.4
23e3f15b-493a-4669-819b-cc07d5d16bda,Chandler Stephenson,ACT,72,203,L,F,C,20,2021,VGK,79,21,43,13,26,125,37,33,68,32,40,44,653,602,52.0
23e3f15b-493a-4669-819b-cc07d5d16bda,Chandler Stephenson,ACT,72,203,L,F,C,20,2022,VGK,8,3,4,1,2,16,2,4,9,1,2,4,76,46,62.3
32a43ff1-60d9-40dd-a4d3-810d9bf555a6,Shea Theodore,ACT,74,195,L,D,D,27,2014,ANA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
32a43ff1-60d9-40dd-a4d3-810d9bf555a6,Shea Theodore,ACT,74,195,L,D,D,27,2015,ANA,20,3,5,1,2,28,21,12,6,17,10,22,0,0,0.0
32a43ff1-60d9-40dd-a4d3-810d9bf555a6,Shea Theodore,ACT,74,195,L,D,D,27,2016,ANA,34,2,7,14,28,60,37,29,14,30,4,30,0,0,0.0
32a43ff1-60d9-40dd-a4d3-810d9bf555a6,Shea Theodore,ACT,74,195,L,D,D,27,2017,VGK,61,6,23,7,14,144,75,43,29,42,25,70,0,0,0.0
32a43ff1-60d9-40dd-a4d3-810d9bf555a6,Shea Theodore,ACT,74,195,L,D,D,27,2018,VGK,79,12,25,9,20,202,144,75,27,59,82,91,1,0,100.0
32a43ff1-60d9-40dd-a4d3-810d9bf555a6,Shea Theodore,ACT,74,195,L,D,D,27,2019,VGK,71,13,33,11,25,219,145,96,20,54,55,69,0,0,0.0
32a43ff1-60d9-40dd-a4d3-810d9bf555a6,Shea Theodore,ACT,74,195,L,D,D,27,2020,VGK,53,8,34,7,14,161,125,62,22,35,25,43,0,0,0.0
32a43ff1-60d9-40dd-a4d3-810d9bf555a6,Shea Theodore,ACT,74,195,L,D,D,27,2021,VGK,78,14,38,12,24,205,144,68,37,58,60,97,0,0,0.0
32a43ff1-60d9-40dd-a4d3-810d9bf555a6,Shea Theodore,ACT,74,195,L,D,D,27,2022,VGK,8,2,4,1,2,17,11,4,2,3,2,11,0,0,0.0
35782f83-5d7b-4bf5-a50a-f6c2f74be278,Laurent Brossoit,IR,75,204,L,G,G,39,2013,EDM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
35782f83-5d7b-4bf5-a50a-f6c2f74be278,Laurent Brossoit,IR,75,204,L,G,G,39,2014,EDM,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
35782f83-5d7b-4bf5-a50a-f6c2f74be278,Laurent Brossoit,IR,75,204,L,G,G,39,2015,EDM,5,0,0,0,0,0,0,0,0,2,0,0,0,0,0.0
35782f83-5d7b-4bf5-a50a-f6c2f74be278,Laurent Brossoit,IR,75,204,L,G,G,39,2016,EDM,8,0,0,0,0,0,0,0,0,2,0,0,0,0,0.0
35782f83-5d7b-4bf5-a50a-f6c2f74be278,Laurent Brossoit,IR,75,204,L,G,G,39,2017,EDM,14,0,1,0,0,0,0,0,0,8,0,0,0,0,0.0
35782f83-5d7b-4bf5-a50a-f6c2f74be278,Laurent Brossoit,IR,75,204,L,G,G,39,2018,WPG,21,0,0,0,0,0,0,0,0,19,0,0,0,0,0.0
35782f83-5d7b-4bf5-a50a-f6c2f74be278,Laurent Brossoit,IR,75,204,L,G,G,39,2019,WPG,19,0,0,0,0,0,0,0,0,14,0,0,0,0,0.0
35782f83-5d7b-4bf5-a50a-f6c2f74be278,Laurent Brossoit,IR,75,204,L,G,G,39,2020,WPG,14,0,0,0,0,0,0,0,0,8,0,0,0,0,0.0
35782f83-5d7b-4bf5-a50a-f6c2f74be278,Laurent Brossoit,IR,75,204,L,G,G,39,2021,VGK,24,0,0,0,0,0,0,0,0,9,3,0,0,0,0.0
374cd339-bfdd-4b15-b4cb-65bc5ab391bc,Jake Leschyshyn,ACT,71,185,L,F,C,15,2021,VGK,41,2,4,4,8,35,14,12,45,4,13,23,122,143,46.0
374cd339-bfdd-4b15-b4cb-65bc5ab391bc,Jake Leschyshyn,ACT,71,185,L,F,C,15,2022,VGK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
39865351-af7a-419c-8db6-5b270c2dd3ec,Logan Thompson,ACT,76,201,L,G,G,36,2020,VGK,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
39865351-af7a-419c-8db6-5b270c2dd3ec,Logan Thompson,ACT,76,201,L,G,G,36,2021,VGK,19,0,0,0,0,0,0,0,0,10,0,0,0,0,0.0
39865351-af7a-419c-8db6-5b270c2dd3ec,Logan Thompson,ACT,76,201,L,G,G,36,2022,VGK,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0
4282db94-0f24-11e2-8525-18a905767e44,Alec Martinez,ACT,73,209,L,D,D,23,2013,LA,61,11,11,7,14,79,82,62,96,27,5,75,0,0,0.0
4282db94-0f24-11e2-8525-18a905767e44,Alec Martinez,ACT,73,209,L,D,D,23,2014,LA,56,6,16,5,10,103,81,48,95,38,11,117,0,0,0.0
4282db94-0f24-11e2-8525-18a905767e44,Alec Martinez,ACT,73,209,L,D,D,23,2015,LA,78,10,21,20,40,124,116,72,164,60,8,183,0,0,0.0
4282db94-0f24-11e2-8525-18a905767e44,Alec Martinez,ACT,73,209,L,D,D,23,2016,LA,82,9,30,12,24,144,109,80,137,51,5,167,0,1,0.0
4282db94-0f24-11e2-8525-18a905767e44,Alec Martinez,ACT,73,209,L,D,D,23,2017,LA,77,9,16,17,34,111,76,42,100,81,11,206,0,1,0.0
4282db94-0f24-11e2-8525-18a905767e44,Alec Martinez,ACT,73,209,L,D,D,23,2018,LA,60,4,14,4,8,78,57,35,78,70,12,135,0,0,0.0
4282db94-0f24-11e2-8525-18a905767e44,Alec Martinez,ACT,73,209,L,D,D,23,2019,VGK,10,2,6,3,6,16,16,7,11,1,8,32,0,0,0.0
4282db94-0f24-11e2-8525-18a905767e44,Alec Martinez,ACT,73,209,L,D,D,23,2020,VGK,53,9,23,6,12,85,61,37,44,26,12,168,0,0,0.0
4282db94-0f24-11e2-8525-18a905767e44,Alec Martinez,ACT,73,209,L,D,D,23,2021,VGK,26,3,5,2,4,32,24,13,26,19,8,68,0,0,0.0
4282db94-0f24-11e2-8525-18a905767e44,Alec Martinez,ACT,73,209,L,D,D,23,2022,VGK,8,0,1,2,4,8,7,4,0,5,4,36,0,0,0.0
42ce2a31-0f24-11e2-8525-18a905767e44,Shea Weber,IR,76,230,R,D,D,6,2013,NSH,79,23,33,22,52,195,98,108,169,50,35,173,0,0,0.0
42ce2a31-0f24-11e2-8525-18a905767e44,Shea Weber,IR,76,230,R,D,D,6,2014,NSH,78,15,30,29,72,237,140,99,166,53,23,147,0,0,0.0
42ce2a31-0f24-11e2-8525-18a905767e44,Shea Weber,IR,76,230,R,D,D,6,2015,NSH,78,20,31,12,27,189,103,90,169,39,19,160,0,0,0.0
42ce2a31-0f24-11e2-8525-18a905767e44,Shea Weber,IR,76,230,R,D,D,6,2016,MTL,78,17,25,19,38,183,141,101,140,80,11,157,0,0,0.0
42ce2a31-0f24-11e2-8525-18a905767e44,Shea Weber,IR,76,230,R,D,D,6,2017,MTL,26,6,10,7,14,75,49,39,66,31,7,59,0,0,0.0
42ce2a31-0f24-11e2-8525-18a905767e44,Shea Weber,IR,76,230,R,D,D,6,2018,MTL,58,14,19,14,28,166,88,85,129,67,17,110,0,0,0.0
42ce2a31-0f24-11e2-8525-18a905767e44,Shea Weber,IR,76,230,R,D,D,6,2019,MTL,65,15,21,15,33,185,95,98,112,79,18,114,0,0,0.0
42ce2a31-0f24-11e2-8525-18a905767e44,Shea Weber,IR,76,230,R,D,D,6,2020,MTL,48,6,13,14,33,104,69,42,70,53,11,68,0,0,0.0
42d52288-0f24-11e2-8525-18a905767e44,Alex Pietrangelo,ACT,75,210,R,D,D,7,2013,STL,81,8,43,12,32,164,157,100,24,34,37,164,0,0,0.0
42d52288-0f24-11e2-8525-18a905767e44,Alex Pietrangelo,ACT,75,210,R,D,D,7,2014,STL,81,7,39,14,28,195,81,89,70,38,33,161,0,0,0.0
42d52288-0f24-11e2-8525-18a905767e44,Alex Pietrangelo,ACT,75,210,R,D,D,7,2015,STL,73,7,30,10,20,182,82,54,48,39,41,136,0,0,0.0
42d52288-0f24-11e2-8525-18a905767e44,Alex Pietrangelo,ACT,75,210,R,D,D,7,2016,STL,80,14,34,12,24,181,95,59,38,27,53,158,0,1,0.0
42d52288-0f24-11e2-8525-18a905767e44,Alex Pietrangelo,ACT,75,210,R,D,D,7,2017,STL,78,15,39,10,22,216,122,79,48,41,54,164,0,0,0.0
42d52288-0f24-11e2-8525-18a905767e44,Alex Pietrangelo,ACT,75,210,R,D,D,7,2018,STL,71,13,28,11,22,168,124,65,62,50,55,139,0,1,0.0
